distance,red,orange,yellow,green,blue
0,0.57035,0.345935,0.077188,0.006336,0.000191
1,0.493496,0.384335,0.110114,0.011606,0.00045
2,0.413198,0.413198,0.152007,0.020572,0.001024
3,0.333034,0.427625,0.201996,0.035102,0.002244
4,0.257058,0.423818,0.257058,0.057357,0.004708
5,0.189112,0.40035,0.311793,0.08933,0.009415
6,0.132067,0.358996,0.358996,0.132067,0.017873
7,0.087284,0.30465,0.391178,0.184779,0.03211
8,0.054489,0.244201,0.40262,0.244201,0.054489
9,0.03211,0.184779,0.391178,0.30465,0.087284
10,0.017873,0.132067,0.358996,0.358996,0.132067
11,0.009415,0.08933,0.311793,0.40035,0.189112
12,0.004708,0.057357,0.257058,0.423818,0.257058
13,0.002244,0.035102,0.201996,0.427625,0.333034
14,0.001024,0.020572,0.152007,0.413198,0.413198
15,0.00045,0.011606,0.110114,0.384335,0.493496
16,0.000191,0.006336,0.077188,0.345935,0.57035
17,7.9e-05,0.003364,0.052625,0.302834,0.641099
18,3.2e-05,0.001745,0.035057,0.259035,0.704131
